archive	config	exp_name	test_mae	test_rmse	n_params	input_dim	n_conditions	window	stride	residual_target	kernel_size	exp_dir
archive_1	exp_low_lr.yaml	exp_low_lr	3.609973669052124	4.583132743835449	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_low_lr_Test-m2_S008_seed42
archive_1	exp_multi_head_mlp.yaml	exp_multi_head_mlp	3.4247512817382812	4.371193885803223	238512	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_multi_head_mlp_Test-m2_S008_seed42
archive_1	exp_multi_horizon.yaml	exp_multi_horizon	3.5023975372314453	4.423248291015625	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_multi_horizon_Test-m2_S008_seed42
archive_1	exp_roll_pitch_only.yaml	exp_roll_pitch_only	3.8556859493255615	4.798978328704834	221550	6	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_roll_pitch_only_Test-m2_S008_seed42
archive_1	exp_seq_output_10.yaml	exp_seq_output_10	3.6380560398101807	4.579170227050781	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_seq_output_10_Test-m2_S008_seed42
archive_1	exp_seq_output_25.yaml	exp_seq_output_25	3.530522346496582	4.4617133140563965	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_seq_output_25_Test-m2_S008_seed42
archive_1	exp_small_kernel.yaml	exp_small_kernel	4.096261978149414	5.08828067779541	141424	7	7	200	5	None	3	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_small_kernel_Test-m2_S008_seed42
archive_1	exp_stride_01.yaml	exp_stride_01	3.607468366622925	4.5674638748168945	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_stride_01_Test-m2_S008_seed42
archive_1	exp_tcn_bigru.yaml	exp_tcn_bigru	3.446790933609009	4.357532024383545	296240	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_tcn_bigru_Test-m2_S008_seed42
archive_1	exp_tcn_gru.yaml	exp_tcn_gru	3.5332202911376953	4.468322277069092	254896	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_tcn_gru_Test-m2_S008_seed42
archive_1	exp_tcn_gru_deep.yaml	exp_tcn_gru_deep	3.6382346153259277	4.67781400680542	419888	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_tcn_gru_deep_Test-m2_S008_seed42
archive_1	exp_wider_tcn.yaml	exp_wider_tcn	3.3661177158355713	4.254266262054443	862992	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_wider_tcn_Test-m2_S008_seed42
archive_1	exp_win_100.yaml	exp_win_100	3.6615383625030518	4.627441883087158	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_win_100_Test-m2_S008_seed42
archive_1	exp_win_300.yaml	exp_win_300	3.4347081184387207	4.364512920379639	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_win_300_Test-m2_S008_seed42
archive_1	exp_win_400.yaml	exp_win_400	3.5674078464508057	4.505263328552246	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_win_400_Test-m2_S008_seed42
archive_1	exp_yaw_only.yaml	exp_yaw_only	3.4661707878112793	4.380630016326904	221356	5	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_yaw_only_Test-m2_S008_seed42
archive_2	exp_A2_accel_only.yaml	exp_A2_accel_only	3.362078905105591	4.142773151397705	222326	10	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_accel_only_Test-m2_S008_seed42
archive_2	exp_A2_asymmetry.yaml	exp_A2_asymmetry	3.5612733364105225	4.350072860717773	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_asymmetry_Test-m2_S008_seed42
archive_2	exp_A2_deflection.yaml	exp_A2_deflection	5.844889163970947	7.054990768432617	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_deflection_Test-m2_S008_seed42
archive_2	exp_A2_explicit_fusion.yaml	exp_A2_explicit_fusion	4.968697547912598	5.992501735687256	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_explicit_fusion_Test-m2_S008_seed42
archive_2	exp_A2_full_imu.yaml	exp_A2_full_imu	3.101928234100342	3.8934781551361084	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_full_imu_Test-m2_S008_seed42
archive_2	exp_A2_gyro_only.yaml	exp_A2_gyro_only	3.0627846717834473	3.8456263542175293	222326	10	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_gyro_only_Test-m2_S008_seed42
archive_2	exp_A2_hip_thigh_both.yaml	exp_A2_hip_thigh_both	3.447875738143921	4.262224197387695	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_hip_thigh_both_Test-m2_S008_seed42
archive_2	exp_A2_mech_power.yaml	exp_A2_mech_power	2.9553062915802	3.637298345565796	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_mech_power_Test-m2_S008_seed42
archive_2	exp_A2_motor_angle.yaml	exp_A2_motor_angle	3.0254275798797607	3.7834787368774414	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_motor_angle_Test-m2_S008_seed42
archive_2	exp_A2_overground_accel.yaml	exp_A2_overground_accel	3.1843719482421875	3.9624416828155518	222326	10	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_overground_accel_Test-m2_S008_seed42
archive_2	exp_A2_quat_replace_euler.yaml	exp_A2_quat_replace_euler	2.9442837238311768	3.605516195297241	221938	8	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_quat_replace_euler_Test-m2_S008_seed42
archive_2	exp_A2_quaternion.yaml	exp_A2_quaternion	2.865471839904785	3.5498290061950684	222520	11	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_quaternion_Test-m2_S008_seed42
archive_2	exp_A2_thigh_angle.yaml	exp_A2_thigh_angle	3.366783857345581	4.149062633514404	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_thigh_angle_Test-m2_S008_seed42
archive_2	exp_A2_thigh_gyro.yaml	exp_A2_thigh_gyro	2.9323477745056152	3.6449708938598633	222714	12	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_thigh_gyro_Test-m2_S008_seed42
archive_2	exp_A2_thigh_gyro_e50.yaml	exp_A2_thigh_gyro_e50	3.0574097633361816	3.8025360107421875	222714	12	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_thigh_gyro_e50_Test-m2_S008_seed42
archive_2	exp_A2_thigh_kinetics.yaml	exp_A2_thigh_kinetics	2.8689510822296143	3.591459035873413	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_thigh_kinetics_Test-m2_S008_seed42
archive_2	exp_A2_thigh_lowdrop.yaml	exp_A2_thigh_lowdrop	2.9886107444763184	3.725338935852051	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_thigh_lowdrop_Test-m2_S008_seed42
archive_2	exp_A2_thigh_only.yaml	exp_A2_thigh_only	3.977592945098877	4.876994609832764	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_thigh_only_Test-m2_S008_seed42
archive_2	exp_A2_thigh_velocity.yaml	exp_A2_thigh_velocity	3.106783151626587	3.872122049331665	222520	11	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_thigh_velocity_Test-m2_S008_seed42
archive_2	exp_A2_torque_dot.yaml	exp_A2_torque_dot	3.438650131225586	4.2315673828125	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_torque_dot_Test-m2_S008_seed42
archive_2	exp_A2_win300_k7.yaml	exp_A2_win300_k7	3.03843355178833	3.7668869495391846	302580	9	7	300	5	None	7	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A2_win300_k7_Test-m2_S008_seed42
archive_3	exp_A3_channels_wide.yaml	exp_A3_channels_wide	2.9700279235839844	3.7054638862609863	863764	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_channels_wide_Test-m2_S008_seed42
archive_3	exp_A3_dropout_01.yaml	exp_A3_dropout_01	2.9564785957336426	3.7082107067108154	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_dropout_01_Test-m2_S008_seed42
archive_3	exp_A3_dropout_03.yaml	exp_A3_dropout_03	2.8553454875946045	3.5937106609344482	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_dropout_03_Test-m2_S008_seed42
archive_3	exp_A3_epochs_50.yaml	exp_A3_epochs_50	2.9693968296051025	3.7007782459259033	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_epochs_50_Test-m2_S008_seed42
archive_3	exp_A3_full_combo.yaml	exp_A3_full_combo	2.5746147632598877	3.220651149749756	303612	13	7	300	5	None	7	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_full_combo_Test-m2_S008_seed42
archive_3	exp_A3_kinetics.yaml	exp_A3_kinetics	2.6967251300811768	3.387481689453125	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_kinetics_Test-m2_S008_seed42
archive_3	exp_A3_lr_0005.yaml	exp_A3_lr_0005	2.9041266441345215	3.618959665298462	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_lr_0005_Test-m2_S008_seed42
archive_3	exp_A3_motor_angle.yaml	exp_A3_motor_angle	2.756527900695801	3.512282609939575	222520	11	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_motor_angle_Test-m2_S008_seed42
archive_3	exp_A3_quaternion.yaml	exp_A3_quaternion	2.3881497383117676	3.036482095718384	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_quaternion_Test-m2_S008_seed42
archive_3	exp_A3_win300_k7.yaml	exp_A3_win300_k7	2.9329564571380615	3.622419834136963	302580	9	7	300	5	None	7	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A3_win300_k7_Test-m2_S008_seed42
archive_4	exp_A4_quat_dropout_01.yaml	exp_A4_quat_dropout_01	2.468318223953247	3.0794172286987305	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_dropout_01_Test-m2_S008_seed42
archive_4	exp_A4_quat_dropout_015.yaml	exp_A4_quat_dropout_015	2.274665594100952	2.8480467796325684	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_dropout_015_Test-m2_S008_seed42
archive_4	exp_A4_quat_k7.yaml	exp_A4_quat_k7	2.487372398376465	3.1544392108917236	303612	13	7	200	5	None	7	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_k7_Test-m2_S008_seed42
archive_4	exp_A4_quat_kin_k7.yaml	exp_A4_quat_kin_k7	2.7103524208068848	3.356685161590576	304644	17	7	200	5	None	7	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_kin_k7_Test-m2_S008_seed42
archive_4	exp_A4_quat_kin_motor.yaml	exp_A4_quat_kin_motor	2.5371999740600586	3.178330183029175	224072	19	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_kin_motor_Test-m2_S008_seed42
archive_4	exp_A4_quat_kinetics.yaml	exp_A4_quat_kinetics	2.562267541885376	3.2170157432556152	223684	17	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_kinetics_Test-m2_S008_seed42
archive_4	exp_A4_quat_motor.yaml	exp_A4_quat_motor	2.3200607299804688	2.9565703868865967	223296	15	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_motor_Test-m2_S008_seed42
archive_4	exp_A4_quat_noise_001.yaml	exp_A4_quat_noise_001	2.667229652404785	3.3384993076324463	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_noise_001_Test-m2_S008_seed42
archive_4	exp_A4_quat_noise_005.yaml	exp_A4_quat_noise_005	2.8007538318634033	3.462707042694092	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_noise_005_Test-m2_S008_seed42
archive_4	exp_A4_quat_win300.yaml	exp_A4_quat_win300	2.481945276260376	3.111212968826294	222908	13	7	300	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/exp_A4_quat_win300_Test-m2_S008_seed42
archive_5	exp_A5_deflection.yaml	exp_A5_deflection	3.170827865600586	3.8825082778930664	223296	15	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_deflection_Test-m2_S008_seed42
archive_5	exp_A5_gated_tcn.yaml	exp_A5_gated_tcn	2.5121936798095703	3.1139495372772217	223353	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_gated_tcn_Test-m2_S008_seed42
archive_5	exp_A5_mech_power.yaml	exp_A5_mech_power	2.275461196899414	2.878926992416382	223296	15	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_mech_power_Test-m2_S008_seed42
archive_5	exp_A5_res_deflection.yaml	exp_A5_res_deflection	2.19240665435791	2.751375198364258	223296	15	7	200	5	True	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_res_deflection_Test-m2_S008_seed42
archive_5	exp_A5_res_dropout_01.yaml	exp_A5_res_dropout_01	2.084939479827881	2.651501417160034	222908	13	7	200	5	True	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_res_dropout_01_Test-m2_S008_seed42
archive_5	exp_A5_res_k7.yaml	exp_A5_res_k7	2.1654603481292725	2.7642624378204346	303612	13	7	200	5	True	7	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_res_k7_Test-m2_S008_seed42
archive_5	exp_A5_res_kin_power.yaml	exp_A5_res_kin_power	2.1475095748901367	2.756044626235962	224072	19	7	200	5	True	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_res_kin_power_Test-m2_S008_seed42
archive_5	exp_A5_res_mech_power.yaml	exp_A5_res_mech_power	2.1614911556243896	2.722653865814209	223296	15	7	200	5	True	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_res_mech_power_Test-m2_S008_seed42
archive_5	exp_A5_res_noise_001.yaml	exp_A5_res_noise_001	2.012575387954712	2.5628442764282227	222908	13	7	200	5	True	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_res_noise_001_Test-m2_S008_seed42
archive_5	exp_A5_residual.yaml	exp_A5_residual	2.261364221572876	2.8443799018859863	222908	13	7	200	5	True	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_5/exp_A5_residual_Test-m2_S008_seed42
